period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.5632,0.36,0.86,0.69,13,-0.1838
+1q,0.60307,0.45,0.85,0.79,13,-0.2366
0y,1.89335,1.15,2.99,3.31,15,-0.428
+1y,2.34311,1.15563,3.61,1.89335,14,0.2375
