Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-09 00:00:00-04:00,64.12365387692601,65.2170071274588,62.09455136493303,64.97075653076172,5550900,0.0,0.0
2026-03-10 00:00:00-04:00,64.66540601512163,65.27610266475565,63.118952620609456,63.828155517578125,4648900,0.0,0.0
2026-03-11 00:00:00-04:00,63.90694979072698,64.04484951858993,61.77934862157612,62.20289993286133,4428000,0.0,0.0
2026-03-12 00:00:00-04:00,61.73009411898289,63.5227980561228,61.129245854929856,61.6611442565918,5446900,0.0,0.0
2026-03-13 00:00:00-04:00,62.27184721539682,62.78404886728783,61.41489250065394,61.65129470825195,3329400,0.0,0.0
2026-03-16 00:00:00-04:00,61.976345284972126,62.37034772304948,60.99134294726448,61.94679641723633,3465900,0.0,0.0
2026-03-17 00:00:00-04:00,62.41959894320108,63.335655202573875,61.602048932503266,61.68084716796875,3762900,0.0,0.0
2026-03-18 00:00:00-04:00,61.86799958374809,62.724950584844485,61.414895642462874,61.92709732055664,3487600,0.0,0.0
2026-03-19 00:00:00-04:00,61.48384420268817,64.1433550272263,61.00119516072385,63.22730255126953,3644600,0.0,0.0
2026-03-20 00:00:00-04:00,63.04015023590076,63.13864896765005,61.16864427277815,61.85814666748047,9930300,0.0,0.0
2026-03-23 00:00:00-04:00,63.04015092398389,63.63115083590191,62.0846974341468,63.05000305175781,4289400,0.0,0.0
2026-03-24 00:00:00-04:00,61.86000061035156,62.09000015258789,60.90999984741211,61.709999084472656,5655100,0.96,0.0
2026-03-25 00:00:00-04:00,62.11000061035156,62.66999816894531,59.880001068115234,60.400001525878906,3740100,0.0,0.0
2026-03-26 00:00:00-04:00,60.029998779296875,66.33999633789062,59.900001525878906,63.209999084472656,11505400,0.0,0.0
2026-03-27 00:00:00-04:00,62.560001373291016,63.20000076293945,61.58000183105469,62.97999954223633,5401300,0.0,0.0
2026-03-30 00:00:00-04:00,63.52000045776367,65.19999694824219,63.31999969482422,63.90999984741211,4586900,0.0,0.0
2026-03-31 00:00:00-04:00,64.62000274658203,65.62999725341797,63.58000183105469,64.19999694824219,2961800,0.0,0.0
2026-04-01 00:00:00-04:00,64.81999969482422,64.98999786376953,63.619998931884766,64.30999755859375,2836500,0.0,0.0
2026-04-02 00:00:00-04:00,63.779998779296875,65.16000366210938,63.0099983215332,64.5,2565000,0.0,0.0
2026-04-06 00:00:00-04:00,63.86000061035156,64.58999633789062,62.83000183105469,64.19999694824219,2656200,0.0,0.0
2026-04-07 00:00:00-04:00,64.30999755859375,64.70690155029297,63.27000045776367,63.78499984741211,785582,0.0,0.0
