period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,-1.46422,-1.63099,-0.83,2.22,17,-1.6596
+1q,2.10526,1.91,2.27,2.13,16,-0.0116
0y,5.12782,5.03,5.23,8.98,23,-0.42900002
+1y,9.75186,9.1,10.3751,5.12782,22,0.9018
