,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2026-01-31,AMERICAN MUTUAL FUND,0.040999997,6362058,425526262,0.0
1,2025-12-31,INVESTMENT CO OF AMERICA,0.0378,5875287,392968583,0.0
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.031400003,4869255,325680131,0.0015
3,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0251,3905184,261198240,0.0227
4,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Index Fund,0.0226,3515271,235118908,-0.0419
5,2025-12-31,"T. ROWE PRICE Eqy. INCOME Fd., INC.-T. Rowe Price Eqy. Income Fd.",0.018099999,2810000,187946856,0.048299998
6,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Value Index Fund,0.0146,2266196,151574524,-0.0349
7,2026-01-31,Invesco Exchange-Traded Fund Trust-Invesco S&P 500 Equal Weight ETF,0.0135,2102287,140611470,0.0586
8,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128,1990677,133146435,-0.0105
9,2026-02-28,ProShares Trust-ProShares S&P 500 Dividend Aristocrats ETF,0.0128,1992988,133301006,0.0023
