period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,3073557120,2957403290,3255561000,3,2926000000,0.0504
+1q,3038960040,2896602560,3132598550,3,2855000000,0.0644
0y,12694489040,11242426190,14957891790,7,12233000000,0.0377
+1y,12808196560,10930000000,16362768630,6,12694489040,0.009
