period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.50197,0.45,0.59,0.5,8,0.0039
+1q,0.60435,0.56567,0.63,0.62,8,-0.0252
0y,2.43966,2.4,2.5,2.35,10,0.0382
+1y,2.66759,2.29,3.04327,2.43966,10,0.0934
