period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.23768,0.23,0.25151,0.22,13,0.0804
+1q,0.34224,0.33,0.353,0.3,13,0.1408
0y,1.24841,1.19,1.28,1.12,17,0.114700004
+1y,1.40318,1.32,1.481,1.24841,17,0.124
