period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.01044,0.95,1.04,0.9,18,0.122700006
+1q,1.08138,1.04,1.137,0.89,17,0.215
0y,4.34913,4.2,4.5,3.81,21,0.1415
+1y,4.9809,4.66,5.246,4.34913,20,0.1453
