period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.56328,2.53,2.60125,2.38,14,0.077
+1q,2.79833,2.73,2.84,2.58,14,0.0846
0y,11.26479,11.1,11.8,10.49,16,0.0739
+1y,12.11823,11.847,12.75,11.26479,15,0.0758
