period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.14999,1.88,2.3029,1.25,4,0.72
+1q,2.24623,2.1,2.41,1.43,3,0.5708
0y,9.29213,7.68,10.52205,6.89,13,0.3486
+1y,10.84462,8.4,17.79785,9.29213,15,0.1671
