period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.53426,0.52,0.55,0.38,18,0.4059
+1q,0.57401,0.51,0.63,0.44,18,0.3046
0y,2.41684,2.27,2.49,1.94,22,0.2458
+1y,2.72493,2.51,2.98,2.41684,20,0.1275
