period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,9742260130,9439872120,9924810000,16,7627000000,0.2773
+1q,10862139000,10094000000,11518900000,16,9136000000,0.1889
0y,40811611190,39440204770,42138000000,20,34296000000,0.19
+1y,42985619860,41357276590,45037000000,18,40811611190,0.0533
