,2025-10-31,2024-10-31,2023-10-31,2022-10-31
Free Cash Flow,627000000.0,1974000000.0,1600000000.0,1471000000.0
Repurchase Of Capital Stock,-202000000.0,-150000000.0,-421000000.0,-512000000.0
Repayment Of Debt,-6837000000.0,-5475000000.0,-4887000000.0,-3992000000.0
Issuance Of Debt,9188000000.0,11245000000.0,4725000000.0,3296000000.0
Issuance Of Capital Stock,0.0,1462000000.0,0.0,0.0
Capital Expenditure,-2292000000.0,-2367000000.0,-2828000000.0,-3122000000.0
Interest Paid Supplemental Data,1018000000.0,772000000.0,677000000.0,453000000.0
Income Tax Paid Supplemental Data,425000000.0,248000000.0,307000000.0,107000000.0
End Cash Position,5859000000.0,15105000000.0,4581000000.0,4763000000.0
Beginning Cash Position,15105000000.0,4581000000.0,4763000000.0,4332000000.0
Effect Of Exchange Rate Changes,-21000000.0,-47000000.0,36000000.0,-279000000.0
Changes In Cash,-9225000000.0,10571000000.0,-218000000.0,710000000.0
Financing Cash Flow,1046000000.0,6283000000.0,-1362000000.0,-1796000000.0
Cash Flow From Continuing Financing Activities,1046000000.0,6283000000.0,-1362000000.0,-1796000000.0
Net Other Financing Charges,-10000000.0,-8000000.0,-7000000.0,-14000000.0
Proceeds From Stock Option Exercised,-289000000.0,-84000000.0,-106000000.0,-53000000.0
Cash Dividends Paid,-796000000.0,-676000000.0,-619000000.0,-621000000.0
Preferred Stock Dividend Paid,-112000000.0,0.0,0.0,
Common Stock Dividend Paid,-684000000.0,-676000000.0,-619000000.0,-621000000.0
Net Preferred Stock Issuance,0.0,1462000000.0,0.0,0.0
Preferred Stock Issuance,0.0,1462000000.0,0.0,0.0
Net Common Stock Issuance,-202000000.0,-150000000.0,-421000000.0,-512000000.0
Common Stock Payments,-202000000.0,-150000000.0,-421000000.0,-512000000.0
Net Issuance Payments Of Debt,2343000000.0,5739000000.0,-209000000.0,-596000000.0
Net Short Term Debt Issuance,-8000000.0,-31000000.0,-47000000.0,100000000.0
Net Long Term Debt Issuance,2351000000.0,5770000000.0,-162000000.0,-696000000.0
Long Term Debt Payments,-6837000000.0,-5475000000.0,-4887000000.0,-3992000000.0
Long Term Debt Issuance,9188000000.0,11245000000.0,4725000000.0,3296000000.0
Investing Cash Flow,-13190000000.0,-53000000.0,-3284000000.0,-2087000000.0
Cash Flow From Continuing Investing Activities,-13190000000.0,-53000000.0,-3284000000.0,-2087000000.0
Net Other Investing Changes,-183000000.0,-42000000.0,-291000000.0,226000000.0
Net Investment Purchase And Sale,973000000.0,-10000000.0,-7000000.0,207000000.0
Sale Of Investment,982000000.0,6000000.0,8000000.0,262000000.0
Purchase Of Investment,-9000000.0,-16000000.0,-15000000.0,-55000000.0
Net Business Purchase And Sale,-12068000000.0,1996000000.0,-760000000.0,0.0
Sale Of Business,210000000.0,2143000000.0,1000000.0,
Purchase Of Business,-12278000000.0,-147000000.0,-761000000.0,0.0
Net PPE Purchase And Sale,-1912000000.0,-1997000000.0,-2226000000.0,-2520000000.0
Sale Of PPE,380000000.0,370000000.0,602000000.0,602000000.0
Purchase Of PPE,-2292000000.0,-2367000000.0,-2828000000.0,-3122000000.0
Operating Cash Flow,2919000000.0,4341000000.0,4428000000.0,4593000000.0
Cash Flow From Continuing Operating Activities,2919000000.0,4341000000.0,4428000000.0,4593000000.0
Dividend Received Cfo,29000000.0,43000000.0,200000000.0,197000000.0
Change In Working Capital,-2707000000.0,-688000000.0,-1032000000.0,-570000000.0
Change In Other Working Capital,89000000.0,-291000000.0,562000000.0,-1888000000.0
Change In Payables And Accrued Expense,-3726000000.0,3953000000.0,-1964000000.0,1523000000.0
Change In Accrued Expense,-58000000.0,-164000000.0,-275000000.0,-334000000.0
Change In Payable,-3668000000.0,4117000000.0,-1689000000.0,1857000000.0
Change In Account Payable,-3468000000.0,3927000000.0,-1655000000.0,1707000000.0
Change In Tax Payable,-200000000.0,190000000.0,-34000000.0,150000000.0
Change In Income Tax Payable,-200000000.0,190000000.0,-34000000.0,150000000.0
Change In Inventory,1783000000.0,-3358000000.0,400000000.0,-713000000.0
Change In Receivables,-853000000.0,-992000000.0,-30000000.0,508000000.0
Changes In Account Receivables,-700000000.0,-83000000.0,577000000.0,-186000000.0
Other Non Cash Items,784000000.0,169000000.0,242000000.0,524000000.0
Stock Based Compensation,643000000.0,430000000.0,428000000.0,391000000.0
Provisionand Write Offof Assets,511000000.0,175000000.0,230000000.0,262000000.0
Asset Impairment Charge,1621000000.0,0.0,0.0,905000000.0
Deferred Tax,-565000000.0,-64000000.0,-67000000.0,-249000000.0
Deferred Income Tax,-565000000.0,-64000000.0,-67000000.0,-249000000.0
Depreciation Amortization Depletion,2737000000.0,2564000000.0,2616000000.0,2480000000.0
Depreciation And Amortization,2737000000.0,2564000000.0,2616000000.0,2480000000.0
Operating Gains Losses,-191000000.0,-867000000.0,-214000000.0,-215000000.0
Earnings Losses From Equity Investments,-90000000.0,-147000000.0,-245000000.0,-215000000.0
Gain Loss On Investment Securities,147000000.0,13000000.0,31000000.0,
Gain Loss On Sale Of Business,-248000000.0,-733000000.0,0.0,0.0
Net Income From Continuing Operations,57000000.0,2579000000.0,2025000000.0,868000000.0
