period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.9631,1.8,2.03,1.7,34,0.1548
+1q,1.67884,1.51,1.84,1.47,26,0.1421
0y,7.4504,6.59,7.55,6.03,37,0.2356
+1y,7.9729,6.16,9.26,7.4504,41,0.0701
