period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,19099060960,18872000000,19260500000,30,15903000000,0.201
+1q,19003745840,18211300000,19471000000,26,14926000000,0.2732
0y,67179401840,66400000000,67434500000,41,57399000000,0.17040001
+1y,88087012280,80121000000,90658335680,39,67179401840,0.31120002
