period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,5839455270,5186875400,6454000000,9,5669000000,0.0301
+1q,6123683310,5048900000,7914497000,9,5478000000,0.1179
0y,24447068070,20641000000,28669091000,9,22632000000,0.0802
+1y,25269027140,21428000000,28486000000,9,24447068070,0.0336
