period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.27898,1.2,1.41,1.33,35,-0.038399998
+1q,1.3497,1.25,1.48,1.4,33,-0.0359
0y,5.32531,5.17,5.88,5.31,43,0.0029
+1y,5.79661,5.27,6.57,5.32531,41,0.0885
