period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,6348714840,6212000000,6471000000,21,5866000000,0.08229999
+1q,6564160800,6486160000,6607000000,21,6022000000,0.09
0y,27297612260,26819000000,27588000000,27,25116000000,0.086899996
+1y,29583949630,28882000000,30060072050,25,27297612260,0.0838
