period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.99169,2.88,3.07,2.84,24,0.053400002
+1q,3.45966,3.27,3.50037,3.13,23,0.105299994
0y,14.9679,13.97,15.1,13.63,28,0.09819999
+1y,16.73997,15.88,17.0,14.9679,26,0.1184
