,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Tax Effect Of Unusual Items,14288211.0,9640176.0,7458450.0,3436283.824075
Tax Rate For Calcs,0.189,0.156,0.114,0.090984
Normalized EBITDA,2308858000.0,2034584000.0,1675824000.0,1452606000.0
Total Unusual Items,75599000.0,61796000.0,65425000.0,37768000.0
Total Unusual Items Excluding Goodwill,75599000.0,61796000.0,65425000.0,37768000.0
Net Income From Continuing Operation Net Minority Interest,1198754000.0,1042895000.0,885862000.0,774398000.0
Reconciled Depreciation,734745000.0,669972000.0,604327000.0,535655000.0
Reconciled Cost Of Revenue,1968996000.0,1752830000.0,2217079000.0,2392817000.0
EBITDA,2384457000.0,2096380000.0,1741249000.0,1490374000.0
EBIT,1649712000.0,1426408000.0,1136922000.0,954719000.0
Net Interest Income,-141734000.0,-167745000.0,-130074000.0,-100030000.0
Interest Expense,171678000.0,190632000.0,137281000.0,102811000.0
Interest Income,29944000.0,22887000.0,7207000.0,2781000.0
Normalized Income,1137443211.0,990739176.0,827895450.0,740066283.824075
Net Income From Continuing And Discontinued Operation,1198754000.0,1042895000.0,885862000.0,774398000.0
Total Expenses,3142784000.0,2809825000.0,3208210000.0,3280680000.0
Total Operating Income As Reported,1559971000.0,1355362000.0,1067147000.0,920982000.0
Diluted Average Shares,160573000.0,152666000.0,145166000.0,138096000.0
Basic Average Shares,158943000.0,152508000.0,145121000.0,137830000.0
Diluted EPS,7.46,6.83,6.1,5.6
Basic EPS,7.54,6.83,6.1,5.61
Diluted NI Availto Com Stockholders,1198267000.0,1042342000.0,885320000.0,773890000.0
Average Dilution Earnings,0.0,0.0,0.0,0.0
Net Income Common Stockholders,1198267000.0,1042342000.0,885320000.0,773890000.0
Otherunder Preferred Stock Dividend,487000.0,553000.0,542000.0,508000.0
Net Income,1198754000.0,1042895000.0,885862000.0,774398000.0
Net Income Including Noncontrolling Interests,1198754000.0,1042895000.0,885862000.0,774398000.0
Net Income Continuous Operations,1198754000.0,1042895000.0,885862000.0,774398000.0
Tax Provision,279280000.0,192881000.0,113779000.0,77510000.0
Pretax Income,1478034000.0,1235776000.0,999641000.0,851908000.0
Other Income Expense,59797000.0,48159000.0,62568000.0,30956000.0
Other Non Operating Income Expenses,-15802000.0,-13637000.0,-2857000.0,-6812000.0
Special Income Charges,75425000.0,58234000.0,64019000.0,45505000.0
Other Special Charges,-75425000.0,-58234000.0,-64019000.0,-45505000.0
Gain On Sale Of Security,174000.0,3562000.0,1406000.0,-7737000.0
Net Non Operating Interest Income Expense,-141734000.0,-167745000.0,-130074000.0,-100030000.0
Interest Expense Non Operating,171678000.0,190632000.0,137281000.0,102811000.0
Interest Income Non Operating,29944000.0,22887000.0,7207000.0,2781000.0
Operating Income,1559971000.0,1355362000.0,1067147000.0,920982000.0
Operating Expense,1173788000.0,1056995000.0,991131000.0,887863000.0
Other Taxes,439043000.0,387023000.0,386804000.0,352208000.0
Depreciation Amortization Depletion Income Statement,734745000.0,669972000.0,604327000.0,535655000.0
Depreciation And Amortization In Income Statement,734745000.0,669972000.0,604327000.0,535655000.0
Gross Profit,2733759000.0,2412357000.0,2058278000.0,1808845000.0
Cost Of Revenue,1968996000.0,1752830000.0,2217079000.0,2392817000.0
Total Revenue,4702755000.0,4165187000.0,4275357000.0,4201662000.0
Operating Revenue,4702755000.0,4165187000.0,4275357000.0,4201662000.0
