period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.68613,0.59557,0.81,0.54,6,0.2706
+1q,0.94576,0.81552,1.08,0.82,6,0.1534
0y,4.25375,4.19,4.31,3.83,12,0.1106
+1y,4.55082,4.52,4.62131,4.25375,12,0.0698
