period,avg,low,high,numberOfAnalysts,yearAgoEps,growth
0q,2.02001,2.01002,2.03,2,,
+1q,2.49586,2.39,2.60172,2,1.68333,0.4827
0y,9.5599,9.27,9.84981,2,6.97,0.3716
+1y,10.60396,10.24,10.96792,2,9.5599,0.1092
