period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.29721,0.29,0.30514,0.26,11,0.14310001
+1q,0.32354,0.31,0.33013,0.29,12,0.1157
0y,1.23344,1.15,1.27,1.09,16,0.13159999
+1y,1.35924,1.23,1.42522,1.23344,13,0.102
