period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.98245,2.94876,3.14,2.64,22,0.1297
+1q,3.21086,2.98751,3.3,2.72,21,0.18049999
0y,13.93882,13.35,14.41,11.81,28,0.18030001
+1y,16.75881,15.22,19.02893,13.93882,27,0.2023
