period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.92795,0.46,1.19,0.99,12,-0.0627
+1q,1.10649,0.912,1.38,1.05,12,0.0538
0y,4.01324,3.96,4.07144,3.71,22,0.0817
+1y,4.37435,4.23,4.48,4.01324,21,0.09
