period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,4468987180,4397701880,4683100000,21,3999000000,0.1175
+1q,4875692950,4789000000,5030600000,21,4538000000,0.0744
0y,19762182900,19367817730,20495000000,25,17935000000,0.1019
+1y,21216632110,20800939400,21891000000,25,19762182900,0.0736
