,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Tax Effect Of Unusual Items,-76200000.0,-31500000.0,-220290000.0,-139440000.0
Tax Rate For Calcs,0.12,0.07,0.21,0.21
Normalized EBITDA,3696000000.0,3169000000.0,3165000000.0,2714000000.0
Total Unusual Items,-635000000.0,-450000000.0,-1049000000.0,-664000000.0
Total Unusual Items Excluding Goodwill,-635000000.0,-450000000.0,-1049000000.0,-664000000.0
Net Income From Continuing Operation Net Minority Interest,1502000000.0,1216000000.0,1397000000.0,1103000000.0
Reconciled Depreciation,865000000.0,816000000.0,745000000.0,717000000.0
Reconciled Cost Of Revenue,15004000000.0,14875000000.0,14527000000.0,13547000000.0
EBITDA,3061000000.0,2719000000.0,2116000000.0,2050000000.0
EBIT,2196000000.0,1903000000.0,1371000000.0,1333000000.0
Net Interest Income,-230000000.0,-402000000.0,-258000000.0,-242000000.0
Interest Expense,227000000.0,381000000.0,258000000.0,221000000.0
Interest Income,19000000.0,17000000.0,18000000.0,6000000.0
Normalized Income,2060800000.0,1634500000.0,2225710000.0,1627560000.0
Net Income From Continuing And Discontinued Operation,3291000000.0,1705000000.0,1849000000.0,1532000000.0
Total Expenses,20768000000.0,20536000000.0,19914000000.0,18625000000.0
Diluted Average Shares,654100000.0,676000000.0,687400000.0,699600000.0
Basic Average Shares,651800000.0,673800000.0,684300000.0,688700000.0
Diluted EPS,5.03,2.52,2.69,2.19
Basic EPS,5.04,2.53,2.702031,2.224481
Diluted NI Availto Com Stockholders,3291000000.0,1705000000.0,1849000000.0,1532000000.0
Net Income Common Stockholders,3291000000.0,1705000000.0,1849000000.0,1532000000.0
Net Income,3291000000.0,1705000000.0,1849000000.0,1532000000.0
Minority Interests,-222000000.0,-195000000.0,-184000000.0,-191000000.0
Net Income Including Noncontrolling Interests,3513000000.0,1900000000.0,2033000000.0,1723000000.0
Net Income Discontinuous Operations,1789000000.0,489000000.0,452000000.0,429000000.0
Net Income Continuous Operations,1724000000.0,1411000000.0,1581000000.0,1294000000.0
Tax Provision,245000000.0,111000000.0,-468000000.0,-182000000.0
Pretax Income,1969000000.0,1522000000.0,1113000000.0,1112000000.0
Other Income Expense,-629000000.0,-492000000.0,-1046000000.0,-658000000.0
Special Income Charges,-544000000.0,-485000000.0,-1049000000.0,-701000000.0
Other Special Charges,-2000000.0,-25000000.0,-25000000.0,
Write Off,0.0,35000000.0,498000000.0,229000000.0
Impairment Of Capital Assets,382000000.0,332000000.0,290000000.0,310000000.0
Restructuring And Mergern Acquisition,164000000.0,143000000.0,1049000000.0,162000000.0
Earnings From Equity Interest,6000000.0,-42000000.0,3000000.0,6000000.0
Gain On Sale Of Security,-91000000.0,35000000.0,35000000.0,37000000.0
Net Non Operating Interest Income Expense,-230000000.0,-402000000.0,-258000000.0,-242000000.0
Total Other Finance Cost,22000000.0,38000000.0,52000000.0,27000000.0
Interest Expense Non Operating,227000000.0,381000000.0,258000000.0,221000000.0
Interest Income Non Operating,19000000.0,17000000.0,18000000.0,6000000.0
Operating Income,2828000000.0,2416000000.0,2417000000.0,2012000000.0
Operating Expense,5764000000.0,5661000000.0,5387000000.0,5078000000.0
Selling General And Administration,5764000000.0,5661000000.0,5387000000.0,5078000000.0
Gross Profit,8592000000.0,8077000000.0,7804000000.0,7090000000.0
Cost Of Revenue,15004000000.0,14875000000.0,14527000000.0,13547000000.0
Total Revenue,23596000000.0,22952000000.0,22331000000.0,20637000000.0
Operating Revenue,23596000000.0,22952000000.0,22331000000.0,20637000000.0
