,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0305,2243062,1234177507,-0.030299999
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.025799999,1894725,1042515533,-0.0070999996
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0211,1553703,854878419,-0.044299997
3,2025-12-31,BARON INVESTMENT Fd.S TRT -BARON GROWTH Fd.,0.0161,1180000,649259565,0.0
4,2026-01-31,"Principal Funds, Inc-MidCap Fund",0.0152,1113256,612535683,-0.0208
5,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.013099999,965935,531476727,-0.0105
6,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.012999999,956251,526148397,0.0017
7,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.012,885098,486998595,-0.0185
8,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.0119,872223,479914513,-0.099300005
9,2025-12-31,BARON SELECT FUNDS-Baron Partners Fund,0.0109,800000,440175976,0.72040004
