period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,4.43535,4.13,4.803,4.0,13,0.1088
+1q,4.83999,4.69,5.09026,4.17,13,0.1607
0y,19.46555,18.9,20.43002,17.28,17,0.1265
+1y,22.04077,21.37,23.03588,19.46555,17,0.13229999
