,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-4203592.814371,0.0,-2365000.0,-6003000.0,17356.614039,
Tax Rate For Calcs,0.155689,0.226,0.215,0.207,0.115711,
Normalized EBITDA,939000000.0,1288000000.0,1325000000.0,733000000.0,800421000.0,
Total Unusual Items,-27000000.0,0.0,-11000000.0,-29000000.0,150000.0,
Total Unusual Items Excluding Goodwill,-27000000.0,0.0,-11000000.0,-29000000.0,150000.0,
Net Income From Continuing Operation Net Minority Interest,378000000.0,607000000.0,603000000.0,156000000.0,287032000.0,
Reconciled Depreciation,379000000.0,367000000.0,366000000.0,368000000.0,358063000.0,
Reconciled Cost Of Revenue,6825000000.0,7333000000.0,7233000000.0,7225000000.0,6448754000.0,
EBITDA,912000000.0,1288000000.0,1314000000.0,704000000.0,800571000.0,
EBIT,533000000.0,921000000.0,948000000.0,336000000.0,442508000.0,
Net Interest Income,-11000000.0,-15000000.0,-19000000.0,-14000000.0,-2811000.0,
Interest Expense,32000000.0,38000000.0,49000000.0,51000000.0,52285000.0,
Interest Income,21000000.0,23000000.0,30000000.0,37000000.0,49474000.0,
Normalized Income,400796407.185629,607000000.0,611635000.0,178997000.0,286899356.614039,
Net Income From Continuing And Discontinued Operation,378000000.0,607000000.0,603000000.0,156000000.0,287032000.0,
Total Expenses,7159000000.0,7633000000.0,7537000000.0,7506000000.0,6688622000.0,
Diluted Average Shares,229600000.0,230200000.0,230800000.0,232900000.0,234300000.0,
Basic Average Shares,229300000.0,229900000.0,230600000.0,232700000.0,234000000.0,
Diluted EPS,1.64,2.63,2.6,0.67,1.22,
Basic EPS,1.64,2.63,2.6,0.67,1.22,
Diluted NI Availto Com Stockholders,377000000.0,605000000.0,600000000.0,156000000.0,294578000.0,
Average Dilution Earnings,,,,,,0.0
Net Income Common Stockholders,376000000.0,605000000.0,600000000.0,156000000.0,294588000.0,
Otherunder Preferred Stock Dividend,2000000.0,2000000.0,3000000.0,0.0,,1000000.0
Net Income,378000000.0,607000000.0,603000000.0,156000000.0,287032000.0,
Minority Interests,-45000000.0,-76000000.0,-103000000.0,-70000000.0,-58038000.0,
Net Income Including Noncontrolling Interests,423000000.0,683000000.0,706000000.0,226000000.0,345070000.0,
Net Income Continuous Operations,423000000.0,683000000.0,706000000.0,226000000.0,345070000.0,
Tax Provision,78000000.0,200000000.0,193000000.0,59000000.0,45153000.0,
Pretax Income,501000000.0,883000000.0,899000000.0,285000000.0,390223000.0,
Other Income Expense,-16000000.0,10000000.0,-1000000.0,-25000000.0,6071000.0,
Special Income Charges,-27000000.0,0.0,-11000000.0,-29000000.0,150000.0,
Write Off,27000000.0,0.0,11000000.0,29000000.0,-150000.0,
Earnings From Equity Interest,11000000.0,10000000.0,10000000.0,4000000.0,5921000.0,
Net Non Operating Interest Income Expense,-11000000.0,-15000000.0,-19000000.0,-14000000.0,-2811000.0,
Interest Expense Non Operating,32000000.0,38000000.0,49000000.0,51000000.0,52285000.0,
Interest Income Non Operating,21000000.0,23000000.0,30000000.0,37000000.0,49474000.0,
Operating Income,528000000.0,888000000.0,919000000.0,324000000.0,386963000.0,
Operating Expense,334000000.0,300000000.0,304000000.0,281000000.0,239868000.0,
Selling General And Administration,334000000.0,300000000.0,304000000.0,281000000.0,239868000.0,
Gross Profit,862000000.0,1188000000.0,1223000000.0,605000000.0,626831000.0,
Cost Of Revenue,6825000000.0,7333000000.0,7233000000.0,7225000000.0,6448754000.0,
Total Revenue,7687000000.0,8521000000.0,8456000000.0,7830000000.0,7075585000.0,
Operating Revenue,7687000000.0,8521000000.0,8456000000.0,7830000000.0,7075585000.0,
