period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,19653159950,19333700000,20298000000,8,17739000000,0.1079
+1q,18808020460,18368000000,19330000000,8,16792000000,0.1201
0y,76463580260,74731324140,78839000000,14,70645000000,0.082399994
+1y,80550435260,77071479910,83804000000,14,76463580260,0.053400002
