period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,4740917250,4664400000,4801000000,4,3681400000,0.2878
+1q,4018215580,3984346750,4076000000,3,3171300000,0.26709998
0y,16610760119,16426300000,16781000000,4,13751000000,0.20799999
+1y,18113657210,17630400000,18716000000,5,16610760119,0.090500005
