period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,2509335180,2420421000,2526618100,22,2225000000,0.1278
+1q,2514510270,2477186000,2569486000,21,2256000000,0.1146
0y,10207607420,10165991000,10438000000,26,9217000000,0.1075
+1y,11091868490,10671000000,11697000000,27,10207607420,0.0866
