,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.223,0.224,0.224087,0.199577
Normalized EBITDA,1315242000.0,1038671000.0,716869000.0,609599000.0
Net Income From Continuing Operation Net Minority Interest,966091000.0,759563000.0,516822000.0,451949000.0
Reconciled Depreciation,68426000.0,57166000.0,47345000.0,42878000.0
Reconciled Cost Of Revenue,2099949000.0,1902275000.0,1801916000.0,1542788000.0
EBITDA,1315242000.0,1038671000.0,716869000.0,609599000.0
EBIT,1246816000.0,981505000.0,669524000.0,566721000.0
Net Interest Income,64872000.0,49644000.0,12121000.0,-182000.0
Interest Expense,3517000.0,2564000.0,3442000.0,2083000.0
Interest Income,68389000.0,52208000.0,15563000.0,1901000.0
Normalized Income,966091000.0,759563000.0,516822000.0,451949000.0
Net Income From Continuing And Discontinued Operation,966091000.0,759563000.0,516822000.0,451949000.0
Total Expenses,3806520000.0,3360249000.0,2974535000.0,2585632000.0
Total Operating Income As Reported,1179092000.0,927514000.0,652751000.0,564707000.0
Diluted Average Shares,152670000.0,156288000.0,160116000.0,166734000.0
Basic Average Shares,151992000.0,155226000.0,159024000.0,165048000.0
Diluted EPS,6.33,4.86,3.228333,2.71
Basic EPS,6.36,4.893333,3.25,2.738333
Diluted NI Availto Com Stockholders,966091000.0,759563000.0,516822000.0,451949000.0
Net Income Common Stockholders,966091000.0,759563000.0,516822000.0,451949000.0
Net Income,966091000.0,759563000.0,516822000.0,451949000.0
Net Income Including Noncontrolling Interests,966091000.0,759563000.0,516822000.0,451949000.0
Net Income Continuous Operations,966091000.0,759563000.0,516822000.0,451949000.0
Tax Provision,277208000.0,219378000.0,149260000.0,112689000.0
Pretax Income,1243299000.0,978941000.0,666082000.0,564638000.0
Other Income Expense,-665000.0,1783000.0,1210000.0,113000.0
Other Non Operating Income Expenses,-665000.0,1783000.0,1210000.0,113000.0
Net Non Operating Interest Income Expense,64872000.0,49644000.0,12121000.0,-182000.0
Interest Expense Non Operating,3517000.0,2564000.0,3442000.0,2083000.0
Interest Income Non Operating,68389000.0,52208000.0,15563000.0,1901000.0
Operating Income,1179092000.0,927514000.0,652751000.0,564707000.0
Operating Expense,1706571000.0,1457974000.0,1172619000.0,1042844000.0
Selling General And Administration,1706571000.0,1457974000.0,1172619000.0,1042844000.0
Gross Profit,2885663000.0,2385488000.0,1825370000.0,1607551000.0
Cost Of Revenue,2099949000.0,1902275000.0,1801916000.0,1542788000.0
Total Revenue,4985612000.0,4287763000.0,3627286000.0,3150339000.0
Operating Revenue,4985612000.0,4287763000.0,3627286000.0,3150339000.0
