period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.49014,0.48,0.5041,1.03,13,-0.5241
+1q,0.59665,0.57,0.65,1.12,13,-0.4673
0y,2.29554,2.25,2.35,1.68,16,0.3664
+1y,2.54576,2.27,2.65,2.29554,14,0.109
