period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.40802,1.14,1.53,1.09,13,0.2918
+1q,1.3983,1.324,1.48,1.03,11,0.35759997
0y,6.31624,5.9,6.76,4.76,16,0.32689998
+1y,7.56187,6.85,8.0,6.31624,16,0.1972
