period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.16756,1.11,1.27,0.96,12,0.21620001
+1q,1.32481,1.23176,1.38,1.37,11,-0.033
0y,5.6486,5.3,6.4,4.51,15,0.2525
+1y,6.75801,5.65,7.5,5.6486,15,0.19639999
