,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,-80000000.0,-206845000.0,-65926174.496644
Tax Rate For Calcs,0.202,0.2,0.205,0.200384
Total Unusual Items,0.0,-400000000.0,-1009000000.0,-329000000.0
Total Unusual Items Excluding Goodwill,0.0,-400000000.0,-1009000000.0,-329000000.0
Net Income From Continuing Operation Net Minority Interest,7570000000.0,6299000000.0,5429000000.0,5825000000.0
Reconciled Depreciation,875000000.0,939000000.0,1018000000.0,560000000.0
Net Interest Income,16649000000.0,16289000000.0,17396000000.0,14728000000.0
Interest Expense,14321000000.0,15377000000.0,12611000000.0,3217000000.0
Interest Income,30970000000.0,31666000000.0,30007000000.0,17945000000.0
Normalized Income,7570000000.0,6619000000.0,6231155000.0,6088073825.503356
Net Income From Continuing And Discontinued Operation,7570000000.0,6299000000.0,5429000000.0,5825000000.0
Diluted Average Shares,1558000000.0,1561000000.0,1543000000.0,1490000000.0
Basic Average Shares,1557000000.0,1560000000.0,1543000000.0,1489000000.0
Diluted EPS,4.62,3.79,3.27,3.69
Basic EPS,4.62,3.79,3.27,3.69
Diluted NI Availto Com Stockholders,7194000000.0,5909000000.0,5051000000.0,5501000000.0
Net Income Common Stockholders,7194000000.0,5909000000.0,5051000000.0,5501000000.0
Otherunder Preferred Stock Dividend,47000000.0,38000000.0,28000000.0,28000000.0
Preferred Stock Dividends,329000000.0,352000000.0,350000000.0,296000000.0
Net Income,7570000000.0,6299000000.0,5429000000.0,5825000000.0
Minority Interests,-26000000.0,-30000000.0,-29000000.0,-13000000.0
Net Income Including Noncontrolling Interests,7596000000.0,6329000000.0,5458000000.0,5838000000.0
Net Income Continuous Operations,7596000000.0,6329000000.0,5458000000.0,5838000000.0
Tax Provision,1921000000.0,1580000000.0,1407000000.0,1463000000.0
Pretax Income,9517000000.0,7909000000.0,6865000000.0,7301000000.0
Special Income Charges,0.0,-400000000.0,-1009000000.0,-329000000.0
Other Special Charges,,245000000.0,734000000.0,
Restructuring And Mergern Acquisition,0.0,155000000.0,1009000000.0,329000000.0
Gain On Sale Of Security,-61000000.0,-154000000.0,-145000000.0,20000000.0
Depreciation Amortization Depletion Income Statement,498000000.0,569000000.0,636000000.0,215000000.0
Depreciation And Amortization In Income Statement,498000000.0,569000000.0,636000000.0,215000000.0
Amortization,498000000.0,569000000.0,636000000.0,215000000.0
Amortization Of Intangibles Income Statement,498000000.0,569000000.0,636000000.0,215000000.0
Selling General And Administration,11032000000.0,11173000000.0,11142000000.0,9613000000.0
Selling And Marketing Expense,705000000.0,619000000.0,726000000.0,456000000.0
General And Administrative Expense,10327000000.0,10554000000.0,10416000000.0,9157000000.0
Salaries And Wages,10327000000.0,10554000000.0,10416000000.0,9157000000.0
Total Revenue,28540000000.0,27335000000.0,28013000000.0,24184000000.0
Operating Revenue,28540000000.0,27335000000.0,28013000000.0,24184000000.0
Occupancy And Equipment,1227000000.0,1246000000.0,1266000000.0,1096000000.0
Professional Expense And Contract Services Expense,468000000.0,491000000.0,560000000.0,529000000.0
Other Non Interest Expense,3612000000.0,3309000000.0,4260000000.0,3124000000.0
