Date,Stock Splits
1979-02-22 00:00:00-05:00,1.25
1985-04-16 00:00:00-05:00,2.0
1989-04-17 00:00:00-04:00,2.0
1997-01-16 00:00:00-05:00,3.0
1999-04-16 00:00:00-04:00,3.0
