period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1577223120,1439000000,1771700000,19,2034295000,-0.22469999
+1q,1678894540,1425500000,1933500000,19,1497208000,0.121400006
0y,7071577960,5988229010,8449799999,26,7181325000,-0.0153
+1y,8421091909,6021000000,11562700000,25,7071577960,0.1908
