period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,3.92785,3.51776,4.27723,3.51,20,0.118999995
+1q,4.40608,4.01,4.73,3.85,20,0.1444
0y,18.21179,17.42,19.18,16.59,23,0.097799994
+1y,20.69261,18.05,21.9,18.21179,23,0.1362
