period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,5183409600,5077599630,5380000000,27,4663000000,0.1116
+1q,5554740500,5500000000,5617000000,25,5061000000,0.097600006
0y,22255963830,22062347000,22740000000,31,20074000000,0.1087
+1y,24516319130,24149414000,25151000000,30,22255963830,0.1016
