period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1026113700,1016000000,1038100000,9,941900000,0.08939999
+1q,1104360000,1083405000,1130000000,9,1022000000,0.0806
0y,4320872830,4294800000,4372988770,11,4067300000,0.0623
+1y,4520870680,4440000000,4660200000,11,4320872830,0.0463
