period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,23857929150,23669000000,24547000000,16,22220000000,0.073699996
+1q,23466865240,22926000000,24046198650,9,22244000000,0.055
0y,93474084050,92489000000,94260000000,25,87926000000,0.0631
+1y,97955839090,96003000000,101245432200,26,93474084050,0.0479
