period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.5881,0.57,0.63,0.44,11,0.3366
+1q,0.63965,0.56,0.72,0.36,11,0.7768
0y,2.62995,2.4,2.81,2.03,12,0.29549998
+1y,2.97494,2.7,3.35,2.62995,11,0.1312
