,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Free Cash Flow,122915000.0,193853000.0,226409000.0,103130000.0,137723000.0,,
Repurchase Of Capital Stock,-86001000.0,-88173000.0,-71942000.0,-86154000.0,-60098000.0,,
Repayment Of Debt,-266609000.0,-131925000.0,-90627000.0,-7534000.0,-25538000.0,,
Issuance Of Debt,267360000.0,663000.0,307000.0,22990000.0,1655000.0,,
Issuance Of Capital Stock,18795000.0,3595000.0,2616000.0,1802000.0,1001000.0,,
Capital Expenditure,-17513000.0,-9058000.0,-11563000.0,-16040000.0,-21399000.0,,
End Cash Position,120392000.0,108442000.0,147788000.0,130157000.0,130424000.0,,
Beginning Cash Position,108442000.0,147788000.0,130157000.0,130424000.0,115952000.0,,
Effect Of Exchange Rate Changes,1434000.0,1604000.0,1006000.0,6618000.0,-2792000.0,,
Changes In Cash,10516000.0,-40950000.0,16625000.0,-6885000.0,17264000.0,,
Financing Cash Flow,-112241000.0,-261901000.0,-203717000.0,-113231000.0,-127582000.0,,
Cash Flow From Continuing Financing Activities,-112241000.0,-261901000.0,-203717000.0,-113231000.0,-127582000.0,,
Cash Dividends Paid,-45786000.0,-46061000.0,-44071000.0,-44335000.0,-44602000.0,,
Common Stock Dividend Paid,-45786000.0,-46061000.0,-44071000.0,-44335000.0,-44602000.0,,
Net Common Stock Issuance,-67206000.0,-84578000.0,-69326000.0,-84352000.0,-59097000.0,,
Common Stock Payments,-86001000.0,-88173000.0,-71942000.0,-86154000.0,-60098000.0,,
Common Stock Issuance,18795000.0,3595000.0,2616000.0,1802000.0,1001000.0,,
Net Issuance Payments Of Debt,751000.0,-131262000.0,-90320000.0,15456000.0,-23883000.0,,
Net Long Term Debt Issuance,751000.0,-131262000.0,-90320000.0,15456000.0,-23883000.0,,
Long Term Debt Payments,-266609000.0,-131925000.0,-90627000.0,-7534000.0,-25538000.0,,
Long Term Debt Issuance,267360000.0,663000.0,307000.0,22990000.0,1655000.0,,
Investing Cash Flow,-17671000.0,18040000.0,-17630000.0,-12824000.0,-14276000.0,,
Cash Flow From Continuing Investing Activities,-17671000.0,18040000.0,-17630000.0,-12824000.0,-14276000.0,,
Net Other Investing Changes,-1261000.0,-1013000.0,-6074000.0,3216000.0,6825000.0,,
Net Business Purchase And Sale,,,,,,-789996000.0,0.0
Purchase Of Business,,,,,,-789996000.0,0.0
Net PPE Purchase And Sale,-16410000.0,-9054000.0,-11556000.0,-16040000.0,-21101000.0,,
Sale Of PPE,1103000.0,4000.0,7000.0,0.0,298000.0,,
Purchase Of PPE,-17513000.0,-9058000.0,-11563000.0,-16040000.0,-21399000.0,,
Operating Cash Flow,140428000.0,202911000.0,237972000.0,119170000.0,159122000.0,,
Cash Flow From Continuing Operating Activities,140428000.0,202911000.0,237972000.0,119170000.0,159122000.0,,
Change In Working Capital,-17864000.0,10222000.0,56998000.0,-34672000.0,24279000.0,,
Other Non Cash Items,-21410000.0,3006000.0,13054000.0,582000.0,584000.0,,
Stock Based Compensation,4891000.0,5689000.0,3831000.0,4791000.0,4633000.0,,
Deferred Tax,5620000.0,-9308000.0,509000.0,-1589000.0,-2223000.0,,
Deferred Income Tax,5620000.0,-9308000.0,509000.0,-1589000.0,-2223000.0,,
Depreciation Amortization Depletion,36585000.0,38069000.0,37846000.0,37577000.0,37031000.0,,
Depreciation And Amortization,36585000.0,38069000.0,37846000.0,37577000.0,37031000.0,,
Amortization Cash Flow,19569000.0,20165000.0,20092000.0,19696000.0,19311000.0,,
Amortization Of Intangibles,19569000.0,20165000.0,20092000.0,19696000.0,19311000.0,,
Depreciation,17016000.0,17904000.0,17754000.0,17881000.0,17720000.0,,
Operating Gains Losses,-776000.0,2831000.0,-50000.0,77000.0,166000.0,,
Gain Loss On Sale Of PPE,-776000.0,2831000.0,-50000.0,77000.0,166000.0,,
Net Income From Continuing Operations,133382000.0,151634000.0,125784000.0,112404000.0,94652000.0,,
