period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,6446192890,6370000000,6571300000,10,5599000000,0.1513
+1q,6572026340,6465000000,6690400000,10,5851000000,0.1232
0y,26560323630,26294000000,27028200000,16,23921000000,0.1103
+1y,28944140460,26534000000,30250490460,17,26560323630,0.08979999
