Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-09 00:00:00-04:00,201.69000244140625,207.4600067138672,197.07000732421875,206.24000549316406,1948900,0.0,0.0
2026-03-10 00:00:00-04:00,207.38999938964844,210.0,202.91000366210938,202.9499969482422,1755700,0.0,0.0
2026-03-11 00:00:00-04:00,202.86000061035156,205.38999938964844,198.99000549316406,205.13999938964844,1573700,0.0,0.0
2026-03-12 00:00:00-04:00,204.8800048828125,206.58999633789062,197.14999389648438,197.83999633789062,2068800,0.0,0.0
2026-03-13 00:00:00-04:00,199.11000061035156,203.25999450683594,197.97000122070312,199.41000366210938,1668000,0.0,0.0
2026-03-16 00:00:00-04:00,203.4499969482422,206.44000244140625,201.4199981689453,203.4499969482422,1639800,0.0,0.0
2026-03-17 00:00:00-04:00,206.0,211.47999572753906,201.60000610351562,204.33999633789062,2037600,0.0,0.0
2026-03-18 00:00:00-04:00,204.0399932861328,205.66000366210938,195.75999450683594,196.25,2393500,0.0,0.0
2026-03-19 00:00:00-04:00,192.60000610351562,199.6699981689453,191.1199951171875,198.38999938964844,1745900,0.0,0.0
2026-03-20 00:00:00-04:00,197.5399932861328,199.39999389648438,193.5500030517578,195.83999633789062,2733500,0.0,0.0
2026-03-23 00:00:00-04:00,201.17999267578125,203.75,197.1699981689453,200.7899932861328,2046100,0.0,0.0
2026-03-24 00:00:00-04:00,198.22000122070312,207.32000732421875,198.22000122070312,206.3699951171875,2237000,0.0,0.0
2026-03-25 00:00:00-04:00,208.60000610351562,210.57000732421875,206.27999877929688,210.02000427246094,2369700,0.0,0.0
2026-03-26 00:00:00-04:00,205.63999938964844,209.14999389648438,202.97999572753906,203.1999969482422,1951300,0.0,0.0
2026-03-27 00:00:00-04:00,201.4600067138672,204.52000427246094,199.80999755859375,202.13999938964844,1711600,0.0,0.0
2026-03-30 00:00:00-04:00,204.8699951171875,206.42999267578125,197.58999633789062,198.63999938964844,3357300,0.0,0.0
2026-03-31 00:00:00-04:00,202.17999267578125,209.19000244140625,200.27000427246094,209.02000427246094,2583200,0.0,0.0
2026-04-01 00:00:00-04:00,207.89999389648438,213.8300018310547,207.89999389648438,211.6699981689453,1642300,0.0,0.0
2026-04-02 00:00:00-04:00,205.97999572753906,214.77000427246094,205.02999877929688,209.07000732421875,1242400,0.0,0.0
2026-04-06 00:00:00-04:00,209.50999450683594,210.88999938964844,207.69000244140625,209.72999572753906,825300,0.0,0.0
2026-04-07 00:00:00-04:00,207.75999450683594,211.22999572753906,207.0449981689453,209.35499572753906,358966,0.0,0.0
