period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.68742,2.64518,2.79,2.1,15,0.27969998
+1q,2.78522,2.71,2.95,2.27,14,0.22700001
0y,11.08708,10.80956,11.58,8.76,18,0.2656
+1y,12.38213,12.0,12.9,11.08708,17,0.1168
