period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,3794073810,3737787000,3902900000,9,3718000000,0.020499999
+1q,3796919730,3732000000,3879760000,9,3647000000,0.041100003
0y,15491990710,15386170000,15743430000,10,14981000000,0.0341
+1y,16290599480,15443170000,16682000000,15,15491990710,0.0515
