period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.9096,1.79,2.04,1.78,21,0.0728
+1q,1.99791,1.9,2.13,1.86,21,0.074099995
0y,7.2591,6.95,7.51,6.85,26,0.059699997
+1y,7.95352,6.91,8.43,7.2591,25,0.095699996
