period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,-0.537,-1.11,0.22,-0.49,18,-0.0959
+1q,-0.11044,-0.63,0.38,-1.24,18,0.91089994
0y,0.11306,-1.75,2.21,1.19,22,-0.905
+1y,4.65742,1.74,8.08,0.11306,22,40.1942
