period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,4605093400,4296000000,4742351000,11,4556200000,0.0107
+1q,4388306600,4342500000,4438000000,8,4517500000,-0.0286
0y,18415639470,18111000000,18557351000,15,19486600000,-0.055
+1y,17982934630,17653688330,18248530960,16,18415639470,-0.0235
