period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.58959,0.49059,0.65,0.53,9,0.112399995
+1q,0.37975,0.327,0.47,0.29,9,0.3095
0y,1.90807,1.9,1.92,1.76,16,0.0841
+1y,2.08056,2.02,2.10435,1.90807,14,0.0904
