,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.187383,0.195983,0.205,0.194
Normalized EBITDA,897779000.0,766301000.0,613592000.0,1359558000.0
Net Income From Continuing Operation Net Minority Interest,587081000.0,465690000.0,325129000.0,940524000.0
Reconciled Depreciation,102818000.0,97160000.0,98985000.0,92776000.0
Reconciled Cost Of Revenue,14873511000.0,16416191000.0,16457570000.0,22826428000.0
EBITDA,897779000.0,766301000.0,613592000.0,1359558000.0
EBIT,794961000.0,669141000.0,514607000.0,1266782000.0
Net Interest Income,-72504000.0,-89937000.0,-105421000.0,-100017000.0
Interest Expense,72504000.0,89937000.0,105421000.0,100017000.0
Normalized Income,587081000.0,465690000.0,325129000.0,940524000.0
Net Income From Continuing And Discontinued Operation,587081000.0,465690000.0,325129000.0,940524000.0
Total Expenses,15437802000.0,17055815000.0,17081836000.0,23429843000.0
Total Operating Income As Reported,794961000.0,669141000.0,514607000.0,1266782000.0
Diluted Average Shares,121502000.0,120679000.0,119677000.0,127150000.0
Basic Average Shares,120242000.0,119805000.0,118551000.0,125743000.0
Diluted EPS,4.83,3.86,2.72,7.4
Basic EPS,4.88,3.89,2.74,7.48
Diluted NI Availto Com Stockholders,587081000.0,465690000.0,325129000.0,940524000.0
Net Income Common Stockholders,587081000.0,465690000.0,325129000.0,940524000.0
Net Income,587081000.0,465690000.0,325129000.0,940524000.0
Net Income Including Noncontrolling Interests,587081000.0,465690000.0,325129000.0,940524000.0
Net Income Continuous Operations,587081000.0,465690000.0,325129000.0,940524000.0
Tax Provision,135376000.0,113514000.0,84057000.0,226241000.0
Pretax Income,722457000.0,579204000.0,409186000.0,1166765000.0
Net Non Operating Interest Income Expense,-72504000.0,-89937000.0,-105421000.0,-100017000.0
Interest Expense Non Operating,72504000.0,89937000.0,105421000.0,100017000.0
Operating Income,794961000.0,669141000.0,514607000.0,1266782000.0
Operating Expense,564291000.0,639624000.0,624266000.0,603415000.0
Selling General And Administration,564291000.0,639624000.0,624266000.0,603415000.0
Gross Profit,1359252000.0,1308765000.0,1138873000.0,1870197000.0
Cost Of Revenue,14873511000.0,16416191000.0,16457570000.0,22826428000.0
Total Revenue,16232763000.0,17724956000.0,17596443000.0,24696625000.0
Operating Revenue,16232763000.0,17724956000.0,17596443000.0,24696625000.0
