period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.24968,1.143,1.4,1.17,24,0.0681
+1q,1.5299,1.37,1.90111,1.29,21,0.186
0y,6.03499,5.35,6.498,5.09,26,0.1857
+1y,7.15125,5.48,7.99928,6.03499,26,0.185
