period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,2649907190,2572000000,2697186000,16,2562800000,0.034
+1q,2682322370,2626000000,2703000000,15,2626900000,0.0211
0y,10794345170,10717000000,10928431840,21,10644600000,0.014099999
+1y,11183555230,11017712370,11569000000,19,10794345170,0.0361
