period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.57105,1.48,1.69,1.04,9,0.51060003
+1q,1.59859,1.54608,1.72126,0.78,9,1.0495
0y,6.46959,6.21,6.73,5.4,11,0.1981
+1y,6.9326,6.43,7.2,6.46959,10,0.0716
