period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,3.09344,3.05,3.14,2.76,27,0.120799996
+1q,3.17119,3.07,3.26,2.98,25,0.0642
0y,12.85595,12.66,13.2,11.47,37,0.120799996
+1y,14.5393,14.11,15.01,12.85595,37,0.1309
