period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,3.2857,3.0,3.5749,3.29,12,-0.0013
+1q,3.60162,3.4,3.92,3.58,12,0.006
0y,14.13807,13.544,14.65,14.43,17,-0.0202
+1y,15.31697,14.86,15.73163,14.13807,16,0.0834
