period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.13,0.13,0.13,0.18401,1,-0.2935
+1q,0.1178,0.04339,0.2,0.11,10,0.0709
0y,0.52598,0.32,0.91,1.13,10,-0.5345
+1y,0.51006,0.22094,0.82,0.52598,9,-0.030299999
