period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.17802,1.56,3.11,1.9,12,0.1463
+1q,5.65784,4.89,6.19,5.43,12,0.042
0y,20.3015,18.37,22.14,18.77,19,0.081599995
+1y,23.55778,20.76,26.01181,20.3015,19,0.1604
