,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-12658200.0,-12658100.0,-12911500.0,-8917500.0
Tax Rate For Calcs,0.219,0.169,0.245,0.205
Normalized EBITDA,1272200000.0,1123500000.0,1005500000.0,1081800000.0
Total Unusual Items,-57800000.0,-74900000.0,-52700000.0,-43500000.0
Total Unusual Items Excluding Goodwill,-57800000.0,-74900000.0,-52700000.0,-43500000.0
Net Income From Continuing Operation Net Minority Interest,742900000.0,646300000.0,522700000.0,600100000.0
Reconciled Depreciation,219600000.0,229000000.0,220500000.0,229700000.0
Reconciled Cost Of Revenue,2226100000.0,2199600000.0,2277800000.0,2071000000.0
EBITDA,1214400000.0,1048600000.0,952800000.0,1038300000.0
EBIT,994800000.0,819600000.0,732300000.0,808600000.0
Net Interest Income,29900000.0,30800000.0,-8200000.0,-48500000.0
Interest Expense,44100000.0,42200000.0,40400000.0,54000000.0
Interest Income,74000000.0,73000000.0,32200000.0,5500000.0
Normalized Income,788041800.0,708541900.0,562488500.0,634682500.0
Net Income From Continuing And Discontinued Operation,742900000.0,646300000.0,522700000.0,600100000.0
Total Expenses,6089100000.0,5800100000.0,5686700000.0,5376600000.0
Rent Expense Supplemental,36600000.0,19100000.0,23800000.0,18200000.0
Total Operating Income As Reported,932100000.0,756400000.0,704200000.0,798400000.0
Diluted Average Shares,64000000.0,66500000.0,69000000.0,74300000.0
Basic Average Shares,62600000.0,65200000.0,67700000.0,73000000.0
Diluted EPS,11.61,9.71,7.58,8.07
Basic EPS,11.86,9.91,7.72,8.22
Diluted NI Availto Com Stockholders,742900000.0,646300000.0,522700000.0,600100000.0
Net Income Common Stockholders,742900000.0,646300000.0,522700000.0,600100000.0
Net Income,742900000.0,646300000.0,522700000.0,600100000.0
Net Income Including Noncontrolling Interests,742900000.0,646300000.0,522700000.0,600100000.0
Net Income Continuous Operations,742900000.0,646300000.0,522700000.0,600100000.0
Tax Provision,207800000.0,131100000.0,169200000.0,154500000.0
Pretax Income,950700000.0,777400000.0,691900000.0,754600000.0
Other Income Expense,-69100000.0,-84700000.0,-56800000.0,-38800000.0
Other Non Operating Income Expenses,-11300000.0,-9800000.0,-4100000.0,4700000.0
Special Income Charges,-57800000.0,-74900000.0,-52700000.0,-43500000.0
Impairment Of Capital Assets,800000.0,0.0,9700000.0,21300000.0
Restructuring And Mergern Acquisition,57000000.0,74900000.0,43000000.0,22200000.0
Net Non Operating Interest Income Expense,29900000.0,30800000.0,-8200000.0,-48500000.0
Interest Expense Non Operating,44100000.0,42200000.0,40400000.0,54000000.0
Interest Income Non Operating,74000000.0,73000000.0,32200000.0,5500000.0
Operating Income,989900000.0,831300000.0,756900000.0,841900000.0
Operating Expense,3863000000.0,3600500000.0,3408900000.0,3305600000.0
Selling General And Administration,3863000000.0,3600500000.0,3408900000.0,3305600000.0
General And Administrative Expense,3863000000.0,3600500000.0,3408900000.0,3305600000.0
Other Gand A,3863000000.0,3600500000.0,3408900000.0,3305600000.0
Rent And Landing Fees,36600000.0,19100000.0,23800000.0,18200000.0
Gross Profit,4852900000.0,4431800000.0,4165800000.0,4147500000.0
Cost Of Revenue,2226100000.0,2199600000.0,2277800000.0,2071000000.0
Total Revenue,7079000000.0,6631400000.0,6443600000.0,6218500000.0
Operating Revenue,7079000000.0,6631400000.0,6443600000.0,6218500000.0
