period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.27888,0.27,0.32,0.13,22,1.1452
+1q,0.30141,0.28964,0.35,0.16,22,0.88379997
0y,1.3213,1.13,1.53,0.75,28,0.7617
+1y,1.86141,1.47,2.38,1.3213,28,0.4088
